"Ticker","Sector","Name"
"MMM","Industrials","3M Co"
"ACE","Financials","ACE Limited"
"ABT","Health Care","Abbott Laboratories"
"ANF","Consumer Discretionary","Abercrombie & Fitch Company A"
"ADBE","Information Technology","Adobe Systems Inc"
"AMD","Information Technology","Advanced Micro Devices"
"AES","Utilities","AES Corp"
"AET","Health Care","Aetna Inc"
"AFL","Financials","AFLAC Inc"
"A","Information Technology","Agilent Technologies Inc"
"APD","Materials","Air Products & Chemicals Inc"
"ARG","Materials","Airgas Inc"
"AKS","Materials","AK Steel Hldg Corp"
"AKAM","Information Technology","Akamai Technologies Inc"
"AA","Materials","Alcoa Inc"
"ATI","Materials","Allegheny Technologies Inc"
"AGN","Health Care","Allergan Inc"
"ALL","Financials","Allstate Corp"
"ALTR","Information Technology","Altera Corp"
"MO","Consumer Staples","Altria Group Inc"
"AMZN","Consumer Discretionary","Amazon.com Inc"
"AEE","Utilities","Ameren Corp"
"AEP","Utilities","American Electric Power"
"AXP","Financials","American Express Co"
"AIG","Financials","American Intl Group Inc"
"AMT","Telecommunications Services","American Tower Corp A"
"ABC","Health Care","AmerisourceBergen Corp"
"AMGN","Health Care","Amgen Inc"
"APH","Industrials","Amphenol Corp A"
"APC","Energy","Anadarko Petroleum Corp"
"ADI","Information Technology","Analog Devices Inc"
"AON","Financials","Aon Corporation"
"APA","Energy","Apache Corporation"
"AIV","Financials","Apartment Investment & Mgmt"
"APOL","Consumer Discretionary","Apollo Group Inc"
"AAPL","Information Technology","Apple Inc."
"AMAT","Information Technology","Applied Materials Inc"
"ADM","Consumer Staples","Archer-Daniels-Midland Co"
"T","Telecommunications Services","AT&T Inc"
"ADSK","Information Technology","Autodesk Inc"
"ADP","Information Technology","Automatic Data Processing"
"AN","Consumer Discretionary","AutoNation Inc"
"AZO","Consumer Discretionary","AutoZone Inc"
"AVB","Financials","AvalonBay Communities Inc"
"AVY","Industrials","Avery Dennison Corp"
"AVP","Consumer Staples","Avon Products"
"BHI","Energy","Baker Hughes Inc"
"BLL","Materials","Ball Corp"
"BAC","Financials","Bank of America Corp"
"BK","Financials","The Bank of New York Mellon Corp."
"BCR","Health Care","Bard (C.R.) Inc."
"BAX","Health Care","Baxter International Inc."
"BBT","Financials","BB&T Corporation"
"BDX","Health Care","Becton Dickinson"
"BBBY","Consumer Discretionary","Bed Bath & Beyond"
"BMS","Materials","Bemis Company"
"BBY","Consumer Discretionary","Best Buy Co. Inc."
"BIG","Consumer Discretionary","Big Lots Inc."
"BIIB","Health Care","BIOGEN IDEC Inc."
"BLK","Financials","Blackrock"
"HRB","Consumer Discretionary","Block H&R"
"BMC","Information Technology","BMC Software"
"BA","Industrials","Boeing Company"
"BXP","Financials","Boston Properties"
"BSX","Health Care","Boston Scientific"
"BMY","Health Care","Bristol-Myers Squibb"
"BRCM","Information Technology","Broadcom Corporation"
"CA","Information Technology","CA, Inc."
"CVC","Consumer Discretionary","Cablevision Systems Corp."
"COG","Energy","Cabot Oil & Gas"
"CAM","Energy","Cameron International Corp."
"CPB","Consumer Staples","Campbell Soup"
"COF","Financials","Capital One Financial"
"CAH","Health Care","Cardinal Health Inc."
"KMX","Consumer Discretionary","Carmax Inc"
"CCL","Consumer Discretionary","Carnival Corp."
"CAT","Industrials","Caterpillar Inc."
"CELG","Health Care","Celgene Corp."
"CNP","Utilities","CenterPoint Energy"
"CTL","Telecommunications Services","CenturyTel Inc"
"CEPH","Health Care","Cephalon Inc"
"CERN","Health Care","Cerner"
"SCHW","Financials","Charles Schwab"
"CHK","Energy","Chesapeake Energy"
"CVX","Energy","Chevron Corp."
"CB","Financials","Chubb Corp."
"CI","Health Care","CIGNA Corp."
"CINF","Financials","Cincinnati Financial"
"CTAS","Industrials","Cintas Corporation"
"CSCO","Information Technology","Cisco Systems"
"C","Financials","Citigroup Inc."
"CTXS","Information Technology","Citrix Systems"
"CLF","Materials","Cliffs Natural Resources"
"CLX","Consumer Staples","Clorox Co."
"CME","Financials","CME Group Inc."
"CMS","Utilities","CMS Energy"
"COH","Consumer Discretionary","Coach Inc."
"KO","Consumer Staples","Coca Cola Co."
"CCE","Consumer Staples","Coca-Cola Enterprises"
"CTSH","Information Technology","Cognizant Technology Solutions"
"CL","Consumer Staples","Colgate-Palmolive"
"CMCSA","Consumer Discretionary","Comcast Corp."
"CMA","Financials","Comerica Inc."
"CSC","Information Technology","Computer Sciences Corp."
"CPWR","Information Technology","Compuware Corp."
"COP","Energy","ConocoPhillips"
"CNX","Energy","CONSOL Energy Inc."
"ED","Utilities","Consolidated Edison"
"STZ","Consumer Staples","Constellation Brands"
"CEG","Utilities","Constellation Energy Group"
"GLW","Industrials","Corning Inc."
"COST","Consumer Staples","Costco Co."
"CVH","Health Care","Coventry Health Care Inc."
"CSX","Industrials","CSX Corp."
"CMI","Industrials","Cummins Inc."
"CVS","Consumer Staples","CVS Caremark Corp."
"DHI","Consumer Discretionary","D. R. Horton"
"DHR","Industrials","Danaher Corp."
"DRI","Consumer Discretionary","Darden Restaurants"
"DVA","Health Care","DaVita Inc."
"DF","Consumer Staples","Dean Foods"
"DE","Industrials","Deere & Co."
"DELL","Information Technology","Dell Inc."
"DNR","Energy","Denbury Resources Inc."
"XRAY","Health Care","Dentsply International"
"DVN","Energy","Devon Energy Corp."
"DV","Consumer Discretionary","DeVry, Inc."
"DO","Energy","Diamond Offshore Drilling"
"D","Utilities","Dominion Resources"
"RRD","Industrials","Donnelley (R.R.) & Sons"
"DOV","Industrials","Dover Corp."
"DOW","Materials","Dow Chemical"
"DTE","Utilities","DTE Energy Co."
"DD","Materials","Du Pont (E.I.)"
"DUK","Utilities","Duke Energy"
"DNB","Industrials","Dun & Bradstreet"
"ETFC","Financials","E-Trade"
"EMN","Materials","Eastman Chemical"
"EBAY","Information Technology","eBay Inc."
"ECL","Materials","Ecolab Inc."
"EIX","Utilities","Edison Int'l"
"EW","Health Care","Edwards Lifesciences"
"EP","Energy","El Paso Corp."
"ERTS","Information Technology","Electronic Arts"
"EMC","Information Technology","EMC Corp."
"EMR","Industrials","Emerson Electric"
"ETR","Utilities","Entergy Corp."
"EOG","Energy","EOG Resources"
"EQT","Utilities","EQT Corporation"
"EFX","Financials","Equifax Inc."
"EQR","Financials","Equity Residential"
"EL","Consumer Staples","Estee Lauder Cos."
"EXC","Utilities","Exelon Corp."
"EXPD","Industrials","Expeditors Int'l"
"ESRX","Health Care","Express Scripts"
"XOM","Energy","Exxon Mobil Corp."
"FFIV","Information Technology","F5 Networks"
"FDO","Consumer Discretionary","Family Dollar Stores"
"FAST","Industrials","Fastenal Co"
"FII","Financials","Federated Investors Inc."
"FDX","Industrials","FedEx Corporation"
"FIS","Information Technology","Fidelity National Information Services"
"FITB","Financials","Fifth Third Bancorp"
"FHN","Financials","First Horizon National"
"FE","Utilities","FirstEnergy Corp"
"FISV","Information Technology","Fiserv Inc"
"FLIR","Information Technology","FLIR Systems"
"FLS","Industrials","Flowserve Corporation"
"FLR","Industrials","Fluor Corp."
"FMC","Materials","FMC Corporation"
"FTI","Energy","FMC Technologies Inc."
"F","Consumer Discretionary","Ford Motor"
"FRX","Health Care","Forest Laboratories"
"FO","Consumer Discretionary","Fortune Brands Inc."
"BEN","Financials","Franklin Resources"
"FCX","Materials","Freeport-McMoran Cp & Gld"
"FTR","Telecommunications Services","Frontier Communications"
"GME","Consumer Discretionary","GameStop Corp."
"GCI","Consumer Discretionary","Gannett Co."
"GPS","Consumer Discretionary","Gap (The)"
"GD","Industrials","General Dynamics"
"GE","Industrials","General Electric"
"GIS","Consumer Staples","General Mills"
"GPC","Consumer Discretionary","Genuine Parts"
"GILD","Health Care","Gilead Sciences"
"GS","Financials","Goldman Sachs Group"
"GR","Industrials","Goodrich Corporation"
"GT","Consumer Discretionary","Goodyear Tire & Rubber"
"GWW","Industrials","Grainger (W.W.) Inc."
"HAL","Energy","Halliburton Co."
"HOG","Consumer Discretionary","Harley-Davidson"
"HAR","Consumer Discretionary","Harman Int'l Industries"
"HRS","Information Technology","Harris Corporation"
"HIG","Financials","Hartford Financial Svc.Gp."
"HAS","Consumer Discretionary","Hasbro Inc."
"HCP","Financials","HCP Inc."
"HCN","Financials","Health Care REIT"
"HNZ","Consumer Staples","Heinz (H.J.)"
"HP","Energy","Helmerich & Payne"
"HES","Energy","Hess Corporation"
"HPQ","Information Technology","Hewlett-Packard"
"HD","Consumer Discretionary","Home Depot"
"HON","Industrials","Honeywell Int'l Inc."
"HRL","Consumer Staples","Hormel Foods Corp."
"HST","Financials","Host Hotels & Resorts"
"HCBK","Financials","Hudson City Bancorp"
"HUM","Health Care","Humana Inc."
"HBAN","Financials","Huntington Bancshares"
"ITW","Industrials","Illinois Tool Works"
"TEG","Utilities","Integrys Energy Group Inc."
"INTC","Information Technology","Intel Corp."
"IBM","Information Technology","International Bus. Machines"
"IFF","Materials","International Flav/Frag"
"IGT","Consumer Discretionary","International Game Technology"
"IP","Materials","International Paper"
"IPG","Consumer Discretionary","Interpublic Group"
"INTU","Information Technology","Intuit Inc."
"ISRG","Health Care","Intuitive Surgical Inc."
"IVZ","Financials","Invesco Ltd."
"IRM","Industrials","Iron Mountain Incorporated"
"ITT","Industrials","ITT Corporation"
"JBL","Information Technology","Jabil Circuit"
